"TANGGAL","CUSTOMER_CODE","NAME_1","CUSTOMER_SINCE","RT_RW","RESIDENCE","TAX_ID","SECTOR","TOWN_COUNTRY","COUNTRY","CUSTOMER_RATING","SMS_1","PHONE_1","PROVINCE","DISTRICT_CODE","POST_CODE","FUND_SOURCE","MOTH_MAIDEN","PLACE_BIRTH","DATE_OF_BIRTH","GENDER","EMPLOYERS_BUSS","EMPLOYMENT_STATUS","OCCUPATION","MARITAL_STATUS","EDUCATION","RELIGION","LEGAL_ID_NO","LEGAL_TYPE","NATIONALITY","RESIDE_Y_N","GUARANTOR_CODE","SID_RELATI_BANK","LBU_CUST_TYPE","EMPLOYERS_NAME","EMPLOYERS_ADD","STREET","FUND_SOURCE_AMT","COMPANY_BOOK","SHORT_NAME","BUSINESS_TYPE","FIRST_REG_NO","FIRST_REG_DATE","LEGAL_ID","LEGAL_ISS_DATE","LEGAL_EXP_DATE","SID_ECO_SECTOR","ACCOUNT_OFFICER","ADDR_PHONE_AREA","TAXABLE","OFF_PHONE","CUST_TYPE","KOLEK","JOB_TITLE","EMAIL","RISK_LEVEL_ID"
"2025-05-19",10610740,PT Saefullah,"2019-07-18","002/001",Jl. Tebet Barat Dalam No. 8,"090-76-6913","95",Bandar Lampung,Indonesia,B,"3389083863794",+62-26-542-3511,Papua Barat,"5012","39256",Chief Strategy Officer,Kani,Sibolga,"1977-05-18",M,PD Nasyiah,Freelance,Company secretary,Single,S2,Islam,"4800335628534889",KTP,ID,Y,"1488","2535","1",PT Puspasari Sihombing Tbk,"Jl. PHH. Mustofa No. 316
Palu, Papua 55341",Jl. Jamika,24033.43,"617",Tbk,"4",IU 3503 WR,"2020-04-09",M 9537 ICG,"2023-05-14","2048-04-02","4257","9928",(0242) 388 4969,N,(053) 287 1012,P,"4","Designer, jewellery",eriyanti@example.com,"3"
"2025-05-19",10233172,Perum Hastuti Nuraini Tbk,"2024-10-15","005/001",Gg. H.J Maemunah No. 14,"446-21-7434","98",Tebingtinggi,Indonesia,A,"8281489325288",+62-95-701-5430,Kalimantan Utara,"7924","54597",Tax adviser,Cindy,Tegal,"1992-06-13",F,Perum Mahendra,Permanent,"Conservation officer, historic buildings",Single,S1,Islam,"4422080015937809",KTP,ID,Y,"6881","6635","2",Perum Marbun Saptono Tbk,"Gang Otto Iskandardinata No. 5
Pematangsiantar, Sulawesi Tengah 33150",Jl. Abdul Muis,80905.7,"748",(Persero) Tbk,"59",H 518 CB,"2022-01-09",V 8299 PG,"2024-01-08","2034-08-24","9785","3045",(0631) 165-6670,N,+62 (006) 513-3387,P,"5",Counselling psychologist,rnajmudin@example.com,"2"
"2025-05-19",11149767,PT Handayani Pudjiastuti,"2017-01-16","006/004",Jl. Moch. Toha No. 677,"219-52-0961","91",Metro,Indonesia,A,"6474687234309","0805009788",Jawa Timur,"1750","96673",Barista,Oni,Denpasar,"1964-01-16",M,CV Waskita,Contract,Communications engineer,Single,SMA,Islam,"3503761407767511",KTP,ID,N,"6977","3664","2",Perum Riyanti Gunarto,"Gang Laswi No. 5
Kota Administrasi Jakarta Selatan, Riau 47510",Jalan Ciumbuleuit,36171.8,"687",(Persero) Tbk,"35",E 3542 LC,"2023-09-23",T 8084 ZU,"2020-11-17","2030-12-12","2169","3803",+62 (0118) 244 9353,Y,+62 (0874) 016 4005,P,"4","Conservator, furniture",gaman78@example.net,"2"
"2025-05-19",10446241,Perum Anggriawan Kusumo (Persero) Tbk,"2017-11-30","005/009",Jalan Bangka Raya No. 045,"816-06-5863","29",Tangerang Selatan,Indonesia,C,"1586923226025",(034) 216-0733,Sulawesi Tenggara,"6313","17331",Maintenance engineer,Ina,Jayapura,"1960-12-27",M,PD Sitompul Setiawan,Permanent,Building control surveyor,Married,S1,Hindu,"2900364398967937",KTP,ID,N,"4483","9179","2",UD Yuniar Tbk,"Gg. Jend. Sudirman No. 4
Bima, SN 56981",Jalan Pasir Koja,88583.63,"659",(Persero) Tbk,"59",AQ 3561 ZR,"2022-10-22",V 8465 DXJ,"2023-06-04","2050-02-06","3340","5339",+62 (0823) 662-9946,Y,"0804436995",P,"5","Psychologist, occupational",rhandayani@example.org,"3"
"2025-05-19",10031954,CV Wahyuni Hutasoit Tbk,"2024-02-23","005/007",Jl. Tebet Barat Dalam No. 33,"151-04-0758","75",Parepare,Indonesia,B,"7693676320163",+62 (87) 083-1727,Sumatera Utara,"6930","38746","Surveyor, land/geomatics",Rina,Tomohon,"1989-06-30",M,Perum Hassanah Manullang Tbk,Freelance,"Production assistant, television",Married,SMA,Islam,"1987631428124054",KTP,ID,Y,"3621","7916","1",CV Uyainah Tbk,"Gang Ciumbuleuit No. 4
Kota Administrasi Jakarta Timur, NB 81223",Jalan Lembong,39091.96,"611",(Persero) Tbk,"60",NK 6036 RO,"2023-04-25",Y 705 SM,"2022-07-16","2039-08-25","9669","5119",(088) 937-3467,Y,+62-65-627-2980,P,"5","Nurse, mental health",hutasoitsyahrini@example.com,"2"
"2025-05-19",11246056,PD Najmudin Hardiansyah,"2019-10-21","006/002",Jalan Erlangga No. 56,"285-97-6907","38",Bau-Bau,Indonesia,B,"805310033092",+62-0271-937-4529,Jambi,"3591","69470","Development worker, community",Ira,Sawahlunto,"1961-02-15",M,Perum Wastuti Tbk,Freelance,Occupational psychologist,Divorced,S1,Kristen,"9220221692669212",KTP,ID,Y,"5889","9317","1",PT Rahayu Utami,"Jalan Ahmad Yani No. 586
Batam, Sumatera Selatan 06716",Gang Jakarta,16131.09,"781",Tbk,"21",XQ 987 UI,"2023-12-15",XS 3147 IK,"2022-01-27","2042-03-11","9837","9689",(050) 752 7354,Y,+62 (494) 808 3136,C,"4",Records manager,zahrakusmawati@example.net,"1"
"2025-05-19",10858262,PD Budiyanto Iswahyudi Tbk,"2019-02-23","002/006",Gg. Kapten Muslihat No. 5,"485-71-8699","40",Pagaralam,Indonesia,A,"5744431351823",+62-749-894-1343,Papua,"1949","41571",Editorial assistant,Ilsa,Tarakan,"1995-09-22",M,UD Gunawan Habibi,Permanent,Surgeon,Divorced,S1,Islam,"7850897944326400",KTP,ID,Y,"3103","8787","1",CV Uyainah Tbk,"Gang Ronggowarsito No. 52
Kota Administrasi Jakarta Pusat, Sulawesi Utara 16719",Jl. Jakarta,27240.61,"894",Tbk,"78",H 699 DRY,"2025-04-05",YQ 496 MOO,"2022-08-06","2045-09-22","7932","4470",+62-091-334-1232,Y,"0812067974",C,"4",Amenity horticulturist,kokosuryono@example.net,"3"
"2025-05-19",10935814,PT Pradipta Saptono (Persero) Tbk,"2022-08-11","006/008",Jl. Pasteur No. 102,"812-40-9750","67",Palembang,Indonesia,B,"7464887719065",+62 (0013) 990 4902,Sulawesi Utara,"2982","42493","Scientist, physiological",Sadina,Kota Administrasi Jakarta Utara,"1971-09-23",M,PD Iswahyudi Halimah Tbk,Permanent,Osteopath,Married,SMA,Kristen,"2983542978675442",KTP,ID,Y,"2163","1964","1",UD Winarsih (Persero) Tbk,"Gang Peta No. 6
Palu, DKI Jakarta 45168",Gg. Tubagus Ismail,7672.63,"33",(Persero) Tbk,"43",QL 703 TYP,"2022-04-09",JO 109 WP,"2022-01-13","2031-10-08","2160","9423",+62 (0808) 613-1712,Y,(0484) 677-3782,C,"4",Music therapist,nadiamelani@example.net,"1"
"2025-05-19",10151067,PT Saefullah Agustina,"2021-02-27","009/003",Gg. Rajawali Barat No. 9,"676-63-2435","93",Prabumulih,Indonesia,C,"5588675339636",+62-057-662-7028,Nusa Tenggara Barat,"8744","41850",Chiropodist,Zulfa,Bengkulu,"1995-03-03",F,PT Megantara Wasita (Persero) Tbk,Contract,Cabin crew,Single,SMA,Islam,"4882563071580154",KTP,ID,N,"7939","7735","2",UD Sirait Oktaviani Tbk,"Gang Medokan Ayu No. 7
Solok, DI Yogyakarta 43161",Gg. Jend. A. Yani,86519.84,"56",Tbk,"87",B 045 KZ,"2023-03-10",EH 9222 QN,"2020-09-02","2047-02-12","2612","1993",(093) 792 3747,N,+62 (0074) 821 7594,C,"1",Photographer,vino43@example.com,"1"
"2025-05-19",11309962,PT Prakasa Wibowo Tbk,"2025-02-26","004/004",Jalan Kapten Muslihat No. 40,"580-88-0804","69",Kotamobagu,Indonesia,B,"9533942104709",+62 (214) 562-3285,Sumatera Utara,"3296","65296",Retail banker,Humaira,Kota Administrasi Jakarta Pusat,"1992-03-02",M,UD Latupono Tbk,Contract,Call centre manager,Married,SMA,Islam,"8278017259832372",KTP,ID,Y,"1828","9856","1",CV Wastuti Wulandari,"Gg. Antapani Lama No. 81
Medan, BB 51370",Jalan H.J Maemunah,96930.63,"949",(Persero) Tbk,"97",WJ 2004 UND,"2024-03-10",D 675 HRE,"2024-08-05","2040-08-21","4872","3724",+62 (61) 796 4053,N,(0735) 158 5064,C,"4",Energy manager,hasanahcemplunk@example.net,"1"
